Ore Type,Ore Cat,Buy,Sell
Veldspar,Veldspar,1850,17.77
Concentrated Veldspar,Veldspar,1950,885.79
Dense Veldspar,Veldspar,2051,1092.34
Scordite,Scordite,2514,23.9
Condensed Scordite,Scordite,2454,885.79
Massive Scordite,Scordite,2665,89000
Pyroxeres,Pyroxeres,5054,397.99
Solid Pyroxeres,Pyroxeres,4803,44.99
Viscous Pyroxeres,Pyroxeres,5076,44
Plagioclase,Plagioclase,5930,3999.98
Azure Plagioclase,Plagioclase,5923,3449.62
Rich Plagioclase,Plagioclase,6347,63.75
Omber,Omber,8800,4000
Silvery Omber,Omber,6302,50
Golden Omber,Omber,5550,1299
Kernite,Kernite,12326,322.98
Luminous Kernite,Kernite,13055,322.98
Fiery Kernite,Kernite,13720,1092.34
Jaspet,Jaspet,35160,322.98
Pure Jaspet,Jaspet,40000,397.99
Pristine Jaspet,Jaspet,32000,330
Hemorphite,Hemorphite,38502,650
Vivid Hemorphite,Hemorphite,40000,44
Radiant Hemorphite,Hemorphite,42000,450
Hedbergite,Hedbergite,35510,477.93
Vitric Hedbergite,Hedbergite,32180,44
Glazed Hedbergite,Hedbergite,34000,398
Gneiss,Gneiss,122101,1299
Iridescent Gneiss,Gneiss,142000,1590
Prismatic Gneiss,Gneiss,139101,3875
Dark Ochre,Dark Ochre,85116,1092.34
Onyx Ochre,Dark Ochre,85000,3999.98
Obsidian Ochre,Dark Ochre,85000,4000
Spodumain,Spodumain,377634,44.99
Bright Spodumain,Spodumain,404000,885.79
Gleaming Spodumain,Spodumain,420002,38050
Crokite,Crokite,290821,3400
Sharp Crokite,Crokite,314000,23.9
Crystalline Crokite,Crokite,319013,39111
Bistot,Bistot,280022,48999.88
Triclinic Bistot,Bistot,266000,44.99
Monoclinic Bistot,Bistot,303870,1184.85
Arkonor,Arkonor,300600,3449.62
Crimson Arkonor,Arkonor,324996,10000
Prime Arkonor,Arkonor,329003,9000
Mercoxit,Mercoxit,2617077,139999
Magma Mercoxit,Mercoxit,2807013,89000
Vitreous Mercoxit,Mercoxit,2825017,44
